proxy,test_id,method,route_idx,cpu_time,real_time
CHP,1,get_all,47,0.27964145500000015,0.26951082301093265
CHP,1,add,53,0.29879977,0.2710789809934795
CHP,1,delete,53,0.3287161169999999,0.29748624700005166
CHP,1,get_all,53,0.20400461599999975,0.1982286560087232
CHP,1,add,60,0.319932251,0.29028608101361897
CHP,1,delete,60,0.42559185399999944,0.38310756999999285
CHP,1,get_all,60,1.0607279059999994,0.9981822230038233
CHP,1,add,68,0.34646991699999985,0.3128458869905444
CHP,1,delete,68,0.40809169999999995,0.3676585959910881
CHP,1,get_all,68,1.069717754,1.0067510779917939
CHP,1,add,77,0.3736731099999999,0.3375611670053331
CHP,1,delete,77,0.3978164659999992,0.3581695160100935
CHP,1,get_all,77,1.022106012,0.9621697249967838
CHP,1,add,87,0.30847710699999986,0.28019919600046705
CHP,1,delete,87,0.08493180700000025,0.07871625998814125
CHP,1,get_all,87,1.300676663,1.222472760011442
CHP,1,add,99,0.3487797269999997,0.3148321240005316
CHP,1,delete,99,0.09037433000000039,0.08402551199833397
CHP,1,get_all,99,1.6273562799999999,1.5331928419909673
CHP,1,add,112,0.22240489899999982,0.20288365900341887
CHP,1,delete,112,0.09715000399999951,0.09055138099938631
CHP,1,get_all,112,1.5364733849999999,1.447223880997626
CHP,1,add,127,0.1922531300000001,0.17563132099166978
CHP,1,delete,127,0.04583771500000022,0.04271863799658604
CHP,1,get_all,127,0.6649108510000001,0.630730131000746
CHP,1,add,144,0.5181773850000004,0.465838578005787
CHP,1,delete,144,0.07966142200000004,0.0738587810046738
CHP,1,get_all,144,0.6927912570000005,0.6564891739981249
CHP,1,add,163,0.5572754519999998,0.5010147619905183
CHP,1,delete,163,0.14009160600000037,0.12890529600554146
CHP,1,get_all,163,0.5917903779999998,0.5621818690124201
CHP,1,add,184,0.5341700159999996,0.48042621999047697
CHP,1,delete,184,0.19659718100000045,0.17957558600755874
CHP,1,get_all,184,0.13756409300000083,0.13401978700130712
CHP,1,add,209,0.3737004199999996,0.3375879539962625
CHP,1,delete,209,0.18240038500000022,0.1664635290071601
CHP,1,get_all,209,1.8075922899999997,1.7018736019963399
CHP,1,add,237,0.03125278600000003,0.033642491995124146
CHP,1,delete,237,0.24134066100000062,0.22163174599700142
CHP,1,get_all,237,1.8183556629999993,1.7117314159986563
CHP,1,add,268,0.03208405599999997,0.03440073398815002
CHP,1,delete,268,0.30735006899999995,0.2788746389996959
CHP,1,get_all,268,1.645071229,1.5492865970009007
CHP,1,add,304,0.2434364569999996,0.22124787500069942
CHP,1,delete,304,0.32049895699999986,0.29031244599900674
CHP,1,get_all,304,0.7992671730000005,0.7557379330100957
CHP,1,add,344,0.43130402300000004,0.38902359300118405
CHP,1,delete,344,0.16787434999999995,0.153248814996914
CHP,1,get_all,344,0.4913989160000005,0.46678262899513356
CHP,1,add,389,0.2221111149999997,0.20258998200006317
CHP,1,delete,389,0.0720529609999998,0.06686326100316364
CHP,1,get_all,389,1.7527496620000003,1.6501525069907075
CHP,1,add,441,0.10242549599999995,0.09563219899428077
CHP,1,delete,441,0.20970911099999956,0.19206617398594972
CHP,1,get_all,441,0.5748013730000006,0.5456356469949242
CHP,2,add,1,0.4308589870000006,0.3897919279988855
CHP,2,delete,1,0.3555433729999997,0.3166418159962632
CHP,2,get_all,1,0.080596098,0.07960983199882321
CHP,2,add,2,0.44593716499999925,0.40356503099610563
CHP,2,delete,2,0.35485309799999953,0.3159514150029281
CHP,2,get_all,2,0.09038104399999991,0.0890598179976223
CHP,2,add,3,0.4355282540000003,0.3940124029904837
CHP,2,delete,3,0.35488589799999914,0.3159841969900299
CHP,2,get_all,3,0.1018734910000001,0.0998650359979365
CHP,2,add,4,0.4291865769999994,0.38837743499607313
CHP,2,delete,4,0.3502119189999995,0.3118197500007227
CHP,2,get_all,4,0.3539034479999996,0.3398325849993853
CHP,2,add,5,0.4220061019999992,0.3816292039991822
CHP,2,delete,5,0.34722316500000083,0.3094208910042653
CHP,2,get_all,5,0.11344380300000001,0.11090782200335525
CHP,2,add,6,0.4216212930000003,0.3813466629944742
CHP,2,delete,6,0.3464058059999999,0.3088962239999091
CHP,2,get_all,6,0.2863493160000008,0.27593164099380374
CHP,2,add,7,0.4184060600000006,0.3784172259911429
CHP,2,delete,7,0.3296869789999999,0.2937663720076671
CHP,2,get_all,7,0.2759979140000004,0.26632438400702085
CHP,2,add,8,0.4152250019999997,0.3753667130076792
CHP,2,delete,8,0.3448366939999996,0.3073959540051874
CHP,2,get_all,8,0.26650207999999953,0.2577066109952284
CHP,2,add,9,0.4078560480000002,0.36880661199393217
CHP,2,delete,9,0.33918139199999864,0.3023484500008635
CHP,2,get_all,9,0.25371041599999966,0.2451551239937544
CHP,2,add,10,0.4052107180000002,0.3662743979948573
CHP,2,delete,10,0.33812673999999987,0.30142491999140475
CHP,2,get_all,10,0.18419913500000007,0.17797211099241395
CHP,2,add,12,0.48983782799999975,0.4438283159979619
CHP,2,delete,12,0.33867345600000043,0.3018694109923672
CHP,2,get_all,12,0.17203243099999987,0.1666395630018087
CHP,2,add,13,0.48912408099999993,0.4431553710019216
CHP,2,delete,13,0.33371591600000095,0.2973712399980286
CHP,2,get_all,13,0.2271906210000001,0.2198728189978283
CHP,2,add,15,0.48037079800000004,0.43483059100981336
CHP,2,delete,15,0.3712269600000013,0.3309972950082738
CHP,2,get_all,15,0.3420540090000008,0.3284531370009063
CHP,2,add,17,0.41370015700000007,0.37389224700746126
CHP,2,delete,17,0.3443998850000014,0.3069588029902661
CHP,2,get_all,17,0.19686407599999978,0.1901899910008069
CHP,2,add,19,0.4703308589999997,0.425416027996107
CHP,2,delete,19,0.365582765000001,0.3257807829941157
CHP,2,get_all,19,0.13516988499999982,0.13104264899448026
CHP,2,add,22,0.45916962500000036,0.4152406070061261
CHP,2,delete,22,0.3792070160000005,0.33772820100421086
CHP,2,get_all,22,0.3127505770000001,0.3011334159964463
CHP,2,add,25,0.1236522640000004,0.11560465500224382
CHP,2,delete,25,0.36163132700000133,0.32228251300693955
CHP,2,get_all,25,0.29217386399999956,0.2817440259968862
CHP,2,add,28,0.10841517300000003,0.1017818529944634
CHP,2,delete,28,0.11570288800000128,0.10539418100961484
CHP,2,get_all,28,1.3789852790000001,1.3076134510047268
CHP,2,add,32,0.15078856399999996,0.13957671700336505
CHP,2,delete,32,0.10319666500000046,0.09441690500534605
CHP,2,get_all,32,1.3744512150000006,1.3032537429971853
CHP,2,add,36,0.06746386699999984,0.06572335300734267
CHP,2,delete,36,0.021206924999999544,0.02053584999521263
CHP,2,get_all,36,1.5165185660000002,1.4359624720091233
CHP,2,add,41,0.09335648299999999,0.08902704001229722
CHP,2,delete,41,0.04014657499999963,0.03768093998951372
CHP,2,get_all,41,1.4801721370000003,1.4020777830010047
CHP,2,add,47,0.055765587999999866,0.055645681990426965
CHP,2,delete,47,0.05910691699999937,0.05465625801298302
CHP,2,get_all,47,1.2767048780000012,1.20940012500796
CHP,2,add,53,0.54289685,0.4916077870002482
CHP,2,delete,53,0.07244401400000022,0.06655211799079552
CHP,2,get_all,53,1.4387370860000006,1.363276329007931
CHP,2,add,60,0.5619046040000004,0.5092023100005463
CHP,2,delete,60,0.4305456499999991,0.38515287901100237
CHP,2,get_all,60,0.625264219,0.5955865099967923
CHP,2,add,68,0.5780574869999997,0.5239225370023632
CHP,2,delete,68,0.4368132559999989,0.39113644100143574
CHP,2,get_all,68,0.6708719760000008,0.6382710170000792
CHP,2,add,77,0.5937368110000003,0.5384699770074803
CHP,2,delete,77,0.425050229,0.3800011319981422
CHP,2,get_all,77,0.7103979010000003,0.6759919700125465
CHP,2,add,87,0.1942423989999993,0.17871724399446975
CHP,2,delete,87,0.15980627800000136,0.1442339589993935
CHP,2,get_all,87,1.5556010760000003,1.4705569189973176
CHP,2,add,99,0.23209541100000042,0.2124369189987192
CHP,2,delete,99,0.19759431800000016,0.1776879950048169
CHP,2,get_all,99,1.5745048529999996,1.4888154679938452
CHP,2,add,112,0.3078463410000003,0.27970743899641093
CHP,2,delete,112,0.25478899099999985,0.2278178100095829
CHP,2,get_all,112,1.6205405840000005,1.5316847099893494
CHP,2,add,127,0.34894535699999985,0.3164259490004042
CHP,2,delete,127,0.054801792000001015,0.05049648899876047
CHP,2,get_all,127,0.919262894,0.8706902150006499
CHP,2,add,144,0.40084907700000016,0.36246326900436543
CHP,2,delete,144,0.10661352400000013,0.09760047300369479
CHP,2,get_all,144,1.105468511999999,1.046476431991323
CHP,2,add,163,0.45912289400000006,0.4151931560045341
CHP,2,delete,163,0.3033869730000003,0.27054345099895727
CHP,2,get_all,163,0.5975969310000009,0.5697009080031421
CHP,2,add,184,0.08251410699999973,0.07877166201069485
CHP,2,delete,184,0.17285747399999885,0.15567696699872613
CHP,2,get_all,184,0.34377612699999993,0.3301634460076457
CHP,2,add,209,0.44159863600000016,0.39960276399506256
CHP,2,delete,209,0.3791491889999996,0.33767030099988915
CHP,2,get_all,209,1.635246015999999,1.5448983140086057
CHP,2,add,237,0.35845734900000004,0.32477483499678783
CHP,2,delete,237,0.4183169160000002,0.37354704800236505
CHP,2,get_all,237,1.772815338000001,1.676321694991202
CHP,2,add,268,0.5618462179999995,0.5091443650017027
CHP,2,delete,268,0.06999554699999955,0.06450143299298361
CHP,2,get_all,268,1.1735703720000004,1.1105625330092153
CHP,2,add,304,0.5050365550000002,0.4575817220029421
CHP,2,delete,304,0.24490135699999982,0.2196546089980984
CHP,2,get_all,304,0.83101848,0.7878144210117171
CHP,2,add,344,0.219581743,0.20162444798916113
CHP,2,delete,344,0.29312603400000015,0.26186136598698795
CHP,2,get_all,344,1.3510623290000003,1.2813766860053875
CHP,2,add,389,0.14421849699999978,0.13362331000098493
CHP,2,delete,389,0.4189038019999991,0.3741247539874166
CHP,2,get_all,389,1.1444453489999988,1.0828074509918224
CHP,2,add,441,0.10130265800000071,0.09563211300701369
CHP,2,delete,441,0.13921176699999904,0.12633174599613994
CHP,2,get_all,441,0.47769732099999995,0.4560210279887542
CHP,3,add,1,0.08377992000000134,0.08553388700238429
CHP,3,delete,1,0.13344474099999992,0.12594691599952057
CHP,3,get_all,1,1.1779639379999995,1.1116584900009912
CHP,3,add,2,0.07794479200000026,0.08040108099521603
CHP,3,delete,2,0.13451347299999838,0.12684266900760122
CHP,3,get_all,2,1.3480629410000002,1.2730943200003821
CHP,3,add,3,0.08005450499999966,0.08212692299275659
CHP,3,delete,3,0.09191586300000054,0.08895430699340068
CHP,3,get_all,3,1.1706373830000008,1.104688545994577
CHP,3,add,4,0.08255658899999929,0.08432951998838689
CHP,3,delete,4,0.08172134700000022,0.07942020900372881
CHP,3,get_all,4,1.3430438729999992,1.268060863003484
CHP,3,add,5,0.07281399900000096,0.07560301799094304
CHP,3,delete,5,0.08091778200000022,0.07871485099894926
CHP,3,get_all,5,1.1665409790000005,1.1005912699911278
CHP,3,add,6,0.0900061499999989,0.09133727500739042
CHP,3,delete,6,0.05866094299999958,0.058310259992140345
CHP,3,get_all,6,1.3351599640000007,1.260594327992294
CHP,3,add,7,0.07343398499999942,0.0763228599971626
CHP,3,delete,7,0.06579229299999945,0.06477367399202194
CHP,3,get_all,7,1.1599762489999996,1.094194160992629
CHP,3,add,8,0.08946378499999952,0.0908236019895412
CHP,3,delete,8,0.0645713299999997,0.06355950700526591
CHP,3,get_all,8,1.3235616369999992,1.2499412260076497
CHP,3,add,9,0.08952481300000059,0.09088356900610961
CHP,3,delete,9,0.12466932999999969,0.11816154800180811
CHP,3,get_all,9,1.3129965600000002,1.2400891099969158
CHP,3,add,10,0.07581627499999932,0.07876013399800286
CHP,3,delete,10,0.049374680999999754,0.04935406299773604
CHP,3,get_all,10,1.3078107890000013,1.2348759649903513
CHP,3,add,12,0.0837216129999998,0.08547658300085459
CHP,3,delete,12,0.12524557299999906,0.11871742899529636
CHP,3,get_all,12,1.28889092,1.2177476200013189
CHP,3,add,13,0.07624319199999974,0.07918712800892536
CHP,3,delete,13,0.049911089000000075,0.04988974300795235
CHP,3,get_all,13,1.2846426120000007,1.213438380000298
CHP,3,add,15,0.09797888299999968,0.09812371400767006
CHP,3,delete,15,0.11361200199999999,0.10849057200539391
CHP,3,get_all,15,1.2687732799999996,1.1989201350079384
CHP,3,add,17,0.07486757000000033,0.07795265699678566
CHP,3,delete,17,0.049584535999999346,0.04956230199604761
CHP,3,get_all,17,1.3272674670000004,1.253395077001187
CHP,3,add,19,0.0976938030000003,0.09785200000624172
CHP,3,delete,19,0.08299526399999912,0.08047817400074564
CHP,3,get_all,19,1.2459813969999995,1.177268835992436
CHP,3,add,22,0.3893985450000006,0.35417945800872985
CHP,3,delete,22,0.10683544699999992,0.10239178000483662
CHP,3,get_all,22,1.2215099159999987,1.1537958450062433
CHP,3,add,25,0.38946503300000046,0.35424542700638995
CHP,3,delete,25,0.06561868100000012,0.06459989699942525
CHP,3,get_all,25,1.2069328870000007,1.1400525439967168
CHP,3,add,28,0.38110344999999946,0.346898225005134
CHP,3,delete,28,0.37523615899999996,0.3383356889971765
CHP,3,get_all,28,0.018834890999999132,0.020022691998747177
CHP,3,add,32,0.3855184230000006,0.3508263200055808
CHP,3,delete,32,0.35178243200000026,0.3169762780016754
CHP,3,get_all,32,0.10479849400000063,0.10037633299361914
CHP,3,add,36,0.39355556599999986,0.35769641200022306
CHP,3,delete,36,0.3554726410000004,0.32049517500854563
CHP,3,get_all,36,0.1887080430000001,0.1790203569980804
CHP,3,add,41,0.37598625300000066,0.3421763469959842
CHP,3,delete,41,0.36047421600000007,0.32500058799632825
CHP,3,get_all,41,0.3474843389999993,0.3274619810108561
CHP,3,add,47,0.37229021600000145,0.33870260999538004
CHP,3,delete,47,0.36739714099999965,0.3313342010078486
CHP,3,get_all,47,0.4543983520000001,0.4281725580076454
CHP,3,add,53,0.4110684530000004,0.37338123499648646
CHP,3,delete,53,0.3715885849999996,0.33492658800969366
CHP,3,get_all,53,0.559958494,0.5289707579941023
CHP,3,add,60,0.4270180529999994,0.38789342099335045
CHP,3,delete,60,0.04934793400000004,0.04932737798662856
CHP,3,get_all,60,0.5726048979999998,0.5406061160028912
CHP,3,add,68,0.45172043600000045,0.4100550439907238
CHP,3,delete,68,0.0919456640000007,0.08898466000391636
CHP,3,get_all,68,0.7161523890000012,0.6770074539963389
CHP,3,add,77,0.478250172000001,0.43323528999462724
CHP,3,delete,77,0.09882370699999932,0.09503220400074497
CHP,3,get_all,77,0.6912568609999994,0.6539915589964949
CHP,3,add,87,0.12185831600000085,0.11922354200214613
CHP,3,delete,87,0.05769277100000103,0.05734869799925946
CHP,3,get_all,87,0.0652091850000005,0.06330289600009564
